,trust,group,score,dc_score,bc_score,pr_score
0,1,1,0.32539431798209917,0.312625250501002,0.008936067403125312,0.0038330000779718894
1,1,2,0.22989884441672276,0.22444889779559116,0.0027328774159239505,0.002717069205207633
2,0,4,0.11144802772313868,0.10821643286573146,0.0016019990176183536,0.001629595839788867
3,1,3,0.07366398364622016,0.0721442885771543,0.000375002398710417,0.0011446926703554505
4,1,1,0.15579689176569572,0.15230460921843686,0.0015032145892405126,0.001989067958018333
5,1,3,0.11492952928050434,0.11222444889779558,0.001140317960414144,0.0015647624222946289
6,1,1,0.19340001122411268,0.18837675350701402,0.0025996614449085784,0.002423596272190067
7,1,3,0.1195875584103321,0.11623246492985971,0.0016766735565108657,0.001678419923961524
8,1,1,0.15119389589143087,0.14829659318637273,0.0009657677286935444,0.0019315349763645976
9,0,4,0.08204412093565118,0.08016032064128256,0.0006382453740569166,0.001245554920311699
10,0,3,0.18944535167107804,0.1843687374749499,0.0026971095229667732,0.0023795046731613714
11,1,3,0.09448279772314797,0.09218436873747494,0.0009112895774868151,0.0013871394081862083
12,1,2,0.2303809577601033,0.22444889779559116,0.0032088167311275077,0.002723243233384671
13,0,4,0.16938000730342181,0.16432865731462926,0.0028642785251850916,0.0021870714636074724
14,1,2,0.18424620358138574,0.18036072144288576,0.001635369839679889,0.0022501122988200987
15,1,2,0.23876481201270383,0.23246492985971942,0.0034793191001142817,0.002820563052870129
16,1,1,0.18946850397535467,0.1843687374749499,0.0027419463220494152,0.002357820178355366
17,1,3,0.1276122668876729,0.12424849699398796,0.0016136915668233235,0.0017500783268616445
18,1,1,0.23163652739569437,0.22444889779559116,0.0043158285402029786,0.002871801059900235
19,1,2,0.23092905869684263,0.22444889779559116,0.0037186665876947915,0.002761494313556694
20,1,1,0.0775911481288092,0.07615230460921843,0.000299858723398894,0.0011389847961918752
21,1,1,0.20199325002193552,0.19639278557114226,0.003087639913671305,0.002512824537121964
22,0,4,0.08613608091174875,0.08416833667334668,0.0006811959985021087,0.0012865482398999586
23,1,1,0.23601375872881722,0.2284569138276553,0.004647076131517359,0.0029097687696445686
24,0,3,0.1981045847535303,0.19238476953907813,0.0032071861637904624,0.002512629050661725
25,1,2,0.30637577028930474,0.29659318637274545,0.006239456794050991,0.0035431271225083278
26,1,2,0.17973365669138497,0.17635270541082163,0.0012044471660803881,0.0021765041144829597
27,0,4,0.17738760428811115,0.1723446893787575,0.0028048294745399056,0.0022380854348137344
28,1,1,0.24761666852439462,0.24048096192384769,0.004190637978003025,0.0029450686225439052
29,0,4,0.23744282922804605,0.2284569138276553,0.006043275158846644,0.0029426402415441096
30,1,3,0.17796799359534363,0.1723446893787575,0.0032817391188211032,0.002341565097765049
31,1,1,0.19876119350043728,0.19238476953907813,0.0038764849554417716,0.0024999390059173908
32,1,3,0.2237594389984526,0.21643286573146292,0.004521695504513237,0.0028048777624764586
33,1,2,0.28977223916303574,0.280561122244489,0.005856058132668247,0.00335505878587851
34,0,4,0.3163716669205198,0.3046092184368737,0.008023107674142679,0.003739340809503447
35,1,1,0.12726701680175653,0.12424849699398796,0.0013336114759983186,0.0016849083317702711
36,1,2,0.32056300241944846,0.312625250501002,0.004316398873864094,0.00362135304458241
37,1,2,0.21845200084115196,0.2124248496993988,0.0033896655187932953,0.00263748562295986
38,1,1,0.16925885641360114,0.16432865731462926,0.002738998776855505,0.0021912003221163617
39,1,2,0.31447600876604864,0.3006012024048096,0.010169071089243344,0.003705735271995673
40,1,2,0.11452613686291885,0.11222444889779558,0.0007764574978128027,0.0015252304673104723
41,1,2,0.2675350186593846,0.2605210420841683,0.0038878211444052977,0.003126155430811035
42,1,2,0.25045078802446247,0.2444889779559118,0.0030291083552165194,0.0029327017133341494
43,1,2,0.28411101921607723,0.27655310621242485,0.004256947357787236,0.003300965645865104
44,1,2,0.08982230718129072,0.08817635270541081,0.00038961823088892034,0.0012563362449909971
45,1,2,0.31048507942148984,0.3006012024048096,0.0063065213096955485,0.003577355706984693
46,1,2,0.2089251770163889,0.20440881763527052,0.002034018652878887,0.002482340728239491
47,0,4,0.09847684448611543,0.09619238476953906,0.0008607786437357594,0.0014236810728406064
48,1,2,0.3197527317004628,0.30861723446893785,0.007451339596578134,0.0036841576349468112
49,0,4,0.17696892644780626,0.1723446893787575,0.002420647091733868,0.0022035899773148924
50,1,1,0.07371215589092261,0.0721442885771543,0.00042410993994015494,0.001143757373828162
51,0,4,0.13975751002372191,0.13627254509018036,0.001636317443859813,0.001848647489681738
52,1,2,0.32819500466466667,0.3166332665330661,0.007788986218752315,0.003772751912848261
53,0,4,0.21240130983627545,0.20440881763527052,0.005269740542162033,0.002722751658842884
54,1,2,0.1724214008785924,0.16833667334669336,0.0019254799003438228,0.002159247631555196
55,1,1,0.24390970186931024,0.23647294589178355,0.004481518399518417,0.0029552375780082726
56,1,1,0.30761753672256137,0.29659318637274545,0.007418781994771439,0.003605568355044507
57,1,3,0.26826088570031226,0.2565130260521042,0.008472210962296153,0.0032756486859119157
58,1,2,0.1889351567242455,0.1843687374749499,0.0022560736378679693,0.002310345611427623
59,0,4,0.09803193787654016,0.09619238476953906,0.00045270153719940027,0.0013868515698016995
60,1,2,0.1929086139279381,0.18837675350701402,0.0021639815339588816,0.0023678788869651735
61,0,3,0.20339488485387047,0.19639278557114226,0.004423441704546867,0.0025786575781813425
62,1,3,0.13602229466598603,0.13226452905811623,0.0019273924122161288,0.001830373195653693
63,0,4,0.21481661349685546,0.20841683366733466,0.003759617796556695,0.0026401620329641004
64,0,4,0.20692247208224313,0.2004008016032064,0.0039519676955469775,0.0025697027834897497
65,0,3,0.0777421932807636,0.07615230460921843,0.0004327091679426251,0.0011571795036025411
66,1,1,0.148200766233736,0.1442885771543086,0.001981546375589039,0.0019306427038383507
67,0,4,0.13581039866780276,0.13226452905811623,0.001735024869898577,0.0018108447397879482
68,1,2,0.26899078937122545,0.2605210420841683,0.0053064811418550625,0.0031632661452020623
69,1,2,0.26575653547192674,0.2565130260521042,0.006113983549458149,0.003129525870364425
70,0,4,0.30111569667681926,0.2885771543086172,0.008902473053027372,0.003636069315174678
71,1,2,0.27641322467505847,0.2685370741482966,0.004655215178529742,0.003220935348232138
72,1,2,0.17735993593073449,0.1723446893787575,0.002775407794885623,0.0022398387570913506
73,0,4,0.036988580998590606,0.03607214428857715,0.00015064409096176548,0.0007657926190516961
74,1,2,0.13141981283038798,0.1282565130260521,0.0014255891463130167,0.0017377106580228727
