,trust,group,score,dc_score,bc_score,pr_score
0,0,4,0.22220505528935586,0.21643286573146292,0.003096570151437395,0.0026756194064555543
1,1,2,0.20455064383215288,0.2004008016032064,0.0017599058206760948,0.0023899364082704063
2,1,3,0.13517902037441157,0.13226452905811623,0.0011798194830495645,0.0017346718332457755
3,1,2,0.2179804759837392,0.2124248496993988,0.0030002311919149582,0.0025553950924254603
4,1,1,0.43291454328053774,0.4128256513026052,0.015300784909671447,0.004788107068261087
5,1,2,0.15952968638983497,0.156312625250501,0.0012593621947365554,0.0019576989445974345
6,1,3,0.16436143179185295,0.16032064128256512,0.001921419370684961,0.0021193711386028684
7,1,2,0.2779787690953925,0.2685370741482966,0.006239351793690137,0.003202343153405788
8,1,2,0.15575815042233573,0.15230460921843686,0.001546498206617908,0.0019070429972809682
9,0,4,0.23901187001865437,0.23246492985971942,0.003747596795378227,0.002799343363556736
10,1,2,0.15161088968890835,0.14829659318637273,0.001435718667676606,0.001878577834859008
11,0,4,0.22852865303326916,0.22044088176352702,0.005344668999323163,0.0027431022704189965
12,1,3,0.18214754979759282,0.17635270541082163,0.0035322342845590976,0.0022626101022120877
13,1,2,0.08969191875199668,0.08817635270541081,0.00027639064437097634,0.0012391754022148913
14,1,2,0.20509447764559627,0.2004008016032064,0.00228164684391749,0.002412029198472381
15,0,4,0.26561747453456225,0.2565130260521042,0.006007132666088633,0.0030973158163694237
16,1,1,0.13116494000298345,0.1282565130260521,0.0012142894507887623,0.00169413752614259
17,1,1,0.36019060389763885,0.344689378757515,0.011398870559504237,0.004102354580619633
18,1,2,0.2554179133855561,0.24849699398797592,0.003988511050003077,0.0029324083475770484
19,1,3,0.10601189892652899,0.10420841683366733,0.0004176351688931222,0.0013858469239685402
20,1,1,0.1431339911935723,0.1402805611222445,0.0010360003575817158,0.0018174297137461023
21,1,3,0.2264982387215402,0.22044088176352702,0.0033521615631680484,0.00270519539484511
22,0,3,0.11896546189821648,0.11623246492985971,0.0011363011391258375,0.0015966958292309257
23,1,1,0.23515004060401212,0.2284569138276553,0.003946293809359846,0.002746832966996976
24,0,4,0.11069226772417919,0.10821643286573146,0.0009811463425212226,0.001494688515926507
25,1,3,0.24964638990754465,0.24048096192384769,0.006183193965134285,0.002982234018562684
26,1,2,0.26794575523266634,0.2605210420841683,0.004347874527202048,0.003076838621295986
27,1,1,0.22686791998597294,0.22044088176352702,0.0037584147279604275,0.0026686234944854905
28,0,3,0.13519945480056608,0.13226452905811623,0.001200128657499098,0.0017347970849507519
29,1,1,0.13513825578909125,0.13226452905811623,0.001165414934297997,0.0017083117966770196
30,0,3,0.16810031917535262,0.16432865731462926,0.0016895663843726823,0.0020820954763506897
31,1,2,0.17633379254926349,0.1723446893787575,0.0018467452428378643,0.002142357927668123
32,1,2,0.3418982979492081,0.3286573146292585,0.009382858164888895,0.0038581251550607264
33,1,3,0.16123259517056512,0.156312625250501,0.00286730632877572,0.002052663591288423
34,1,2,0.21448470628419886,0.20841683366733466,0.0035506324017705,0.0025172402150936846
35,1,3,0.22289446044436553,0.21643286573146292,0.003824027763720374,0.002637566949182238
36,1,2,0.2483033131297849,0.24048096192384769,0.0049401221617180234,0.0028822290442192017
37,1,1,0.1522430206842038,0.14829659318637273,0.00202069069794165,0.001925736799889452
38,0,4,0.25651096109931876,0.24849699398797592,0.005001840237162034,0.0030121268741807776
39,0,4,0.2821212939529369,0.2725450901803607,0.006327562140038226,0.0032486416325379574
40,1,1,0.07333239194810655,0.0721442885771543,0.00011890218884317648,0.0010692011821090723
41,0,4,0.11048722746285275,0.10821643286573146,0.0007874385141934711,0.0014833560829278169
42,1,2,0.2645487076425691,0.2565130260521042,0.004977303747063129,0.0030583778434017726
43,1,1,0.23124292969185584,0.22444889779559116,0.004043320776681816,0.0027507111195828526
44,1,3,0.12279918874283362,0.12024048096192384,0.0009552766322994908,0.0016034311486102814
45,0,3,0.18666577938922002,0.18036072144288576,0.003957404769067316,0.002347653177266945
46,1,2,0.19684474809548574,0.19238476953907813,0.0021273332439839137,0.002332645312423701
47,0,4,0.22330721119498118,0.21643286573146292,0.004181240593740199,0.0026931048697780447
48,0,4,0.12278157375788326,0.12024048096192384,0.0009362045727454711,0.0016048882232139478
49,1,2,0.0855902498707644,0.08416833667334668,0.00023674821788063796,0.0011851649795370722
50,1,3,0.1562288004497384,0.15230460921843686,0.0019794756091495824,0.0019447156221519637
51,1,2,0.30363705380727984,0.2925851703406813,0.007591798209376372,0.0034600852572221077
52,1,1,0.18875619412531197,0.1843687374749499,0.0021221436608745196,0.002265312989487579
53,1,3,0.15611937742281318,0.15230460921843686,0.0018643692001717074,0.0019503990042045922
54,0,4,0.17646972814789177,0.1723446893787575,0.0019774038362764747,0.0021476349328577965
55,1,3,0.14745833288303875,0.1442885771543086,0.0013235299553726392,0.0018462257733575108
56,1,3,0.10263784488049604,0.1002004008016032,0.0009988791276039203,0.0014385649512889255
57,1,2,0.24342687892043785,0.23647294589178355,0.004127897573217842,0.0028260354554364518
58,0,3,0.19367580469626186,0.18837675350701402,0.002938199004785468,0.0023608521844623647
59,1,1,0.20606445669654222,0.2004008016032064,0.0031849427429010723,0.0024787123504347456
60,1,1,0.1761148196316585,0.1723446893787575,0.0016469551394759257,0.0021231751134250703
61,1,3,0.17291975853532685,0.16833667334669336,0.0024453061820837703,0.002137779006549709
